,notreid,fungi_class
0,106,Fungi
1,108,Fungi
2,109,Fungi
3,110,Fungi
4,111,Fungi
5,112,Fungi
6,113,Fungi
7,114,Fungi
8,115,Fungi
9,116,Fungi
10,117,Fungi
11,122,NotFungi
12,123,NotFungi
13,154,Fungi
14,155,Fungi
15,156,Fungi
16,157,Fungi
17,160,Fungi
18,161,Fungi
19,162,Fungi
20,163,Fungi
21,164,Fungi
22,166,Fungi
23,168,Fungi
24,176,NotFungi
25,177,Fungi
26,178,NotFungi
27,179,Fungi
28,183,Fungi
29,184,Fungi
30,186,Fungi
31,187,Fungi
32,188,Fungi
33,190,Fungi
34,191,Fungi
35,193,Fungi
36,194,Fungi
37,195,Fungi
38,196,Fungi
39,197,Fungi
40,198,Fungi
41,199,Fungi
42,200,Fungi
43,201,Fungi
44,202,Fungi
45,204,Fungi
46,205,Fungi
47,206,Fungi
48,208,Fungi
49,209,Fungi
50,210,Fungi
51,211,Fungi
52,216,Fungi
53,217,Fungi
54,218,Fungi
55,219,Fungi
56,220,Fungi
57,221,Fungi
58,222,Fungi
59,223,Fungi
60,224,Fungi
61,225,Fungi
62,226,Fungi
63,227,Fungi
64,228,Fungi
65,229,Fungi
66,230,Fungi
67,231,Fungi
68,232,Fungi
69,233,Fungi
70,234,Fungi
71,235,Fungi
72,236,Fungi
73,237,Fungi
74,238,Fungi
75,239,Fungi
76,240,Fungi
77,241,Fungi
78,244,Fungi
79,245,Fungi
80,249,Fungi
81,250,Fungi
82,252,Fungi
83,253,Fungi
84,265,Fungi
85,266,Fungi
86,267,Fungi
87,268,Fungi
88,269,Fungi
89,270,Fungi
90,271,Fungi
91,272,Fungi
92,273,Fungi
93,274,Fungi
94,279,Fungi
95,280,Fungi
96,281,Fungi
97,283,Fungi
98,284,Fungi
99,285,Fungi
100,286,Fungi
101,291,Fungi
102,292,Fungi
103,293,Fungi
104,302,Fungi
105,303,Fungi
106,310,Fungi
107,311,Fungi
108,313,Fungi
109,314,Fungi
110,327,Fungi
111,328,Fungi
112,331,Fungi
113,332,Fungi
114,337,Fungi
115,338,Fungi
116,339,Fungi
117,340,Fungi
118,341,Fungi
119,342,Fungi
120,343,Fungi
121,344,Fungi
122,345,Fungi
123,346,Fungi
124,347,Fungi
125,348,Fungi
126,349,Fungi
127,350,Fungi
128,351,Fungi
129,352,Fungi
130,353,Fungi
131,363,Fungi
132,364,Fungi
133,365,Fungi
134,366,Fungi
135,367,Fungi
136,368,Fungi
137,369,Fungi
138,370,Fungi
139,371,Fungi
140,372,Fungi
141,373,Fungi
142,375,Fungi
143,376,Fungi
144,377,Fungi
145,378,Fungi
146,379,Fungi
147,380,Fungi
148,381,Fungi
149,382,Fungi
150,383,Fungi
151,384,Fungi
152,385,Fungi
153,386,Fungi
154,387,Fungi
155,388,Fungi
156,389,Fungi
157,390,Fungi
158,391,Fungi
159,392,Fungi
160,393,Fungi
161,394,Fungi
162,395,Fungi
163,397,Fungi
164,398,Fungi
165,399,Fungi
166,400,Fungi
167,401,Fungi
168,402,Fungi
169,403,Fungi
170,404,Fungi
171,405,Fungi
172,406,Fungi
173,407,Fungi
174,408,Fungi
175,410,Fungi
176,411,Fungi
177,412,Fungi
178,413,Fungi
179,414,Fungi
180,415,Fungi
181,416,Fungi
182,417,Fungi
183,418,Fungi
184,419,Fungi
185,420,Fungi
186,422,Fungi
187,423,Fungi
188,424,Fungi
189,425,Fungi
190,426,Fungi
191,427,Fungi
192,428,Fungi
193,429,Fungi
194,430,Fungi
195,431,Fungi
196,432,Fungi
197,433,Fungi
198,434,Fungi
199,435,Fungi
200,436,Fungi
201,437,Fungi
202,438,Fungi
203,439,Fungi
204,440,Fungi
205,441,Fungi
206,442,Fungi
207,443,Fungi
208,444,Fungi
209,445,Fungi
210,446,Fungi
211,447,Fungi
212,448,Fungi
213,449,Fungi
214,450,Fungi
215,451,Fungi
216,452,Fungi
217,453,Fungi
218,454,Fungi
219,455,Fungi
220,456,Fungi
221,457,Fungi
222,458,Fungi
223,459,Fungi
224,460,Fungi
225,462,Fungi
226,463,Fungi
227,464,Fungi
228,466,Fungi
229,467,Fungi
